date,symbol,name,open,high,low,close,volume,amount,pct_change,turnover_rate,source_file,amplitude,change
2021-04-30,159883,,0.999,1.015,0.995,1.015,97994375.0,98609369.0,,,sina:159883,,
2021-05-06,159883,,1.013,1.015,0.988,0.996,49492158.0,49602570.0,,,sina:159883,,
2021-05-07,159883,,1.0,1.002,0.957,0.957,22927947.0,22345574.0,,,sina:159883,,
2021-05-10,159883,,0.963,0.975,0.954,0.964,18355228.0,17714574.0,,,sina:159883,,
2021-05-11,159883,,0.965,0.977,0.955,0.975,19432321.0,18747915.0,,,sina:159883,,
2021-05-12,159883,,0.976,0.996,0.962,0.992,21714509.0,21176423.0,,,sina:159883,,
2021-05-13,159883,,0.978,1.005,0.978,1.004,26616454.0,26535104.0,,,sina:159883,,
2021-05-14,159883,,1.009,1.022,0.998,1.013,29446300.0,29834715.0,,,sina:159883,,
2021-05-17,159883,,1.019,1.047,1.017,1.035,25035696.0,25936755.0,,,sina:159883,,
2021-05-18,159883,,1.035,1.037,1.018,1.025,15590673.0,15966220.0,,,sina:159883,,
2021-05-19,159883,,1.024,1.029,1.013,1.017,16757111.0,17074082.0,,,sina:159883,,
2021-05-20,159883,,1.023,1.035,1.017,1.029,18339356.0,18804579.0,,,sina:159883,,
2021-05-21,159883,,1.032,1.038,1.016,1.019,15409337.0,15782236.0,,,sina:159883,,
2021-05-24,159883,,1.019,1.019,0.984,1.012,22440229.0,22357253.0,,,sina:159883,,
2021-05-25,159883,,1.008,1.033,1.008,1.032,17791747.0,18260450.0,,,sina:159883,,
2021-05-26,159883,,1.033,1.038,1.02,1.036,15540234.0,16022094.0,,,sina:159883,,
2021-05-27,159883,,1.032,1.052,1.026,1.051,19320947.0,20137395.0,,,sina:159883,,
2021-05-28,159883,,1.057,1.057,1.031,1.037,20085828.0,21037816.0,,,sina:159883,,
2021-05-31,159883,,1.037,1.043,1.028,1.043,10209211.0,10604925.0,,,sina:159883,,
2021-06-01,159883,,1.046,1.051,1.031,1.05,14056416.0,14677772.0,,,sina:159883,,
2021-06-02,159883,,1.048,1.048,1.019,1.021,35816407.0,36772814.0,,,sina:159883,,
2021-06-03,159883,,1.021,1.022,1.0,1.008,19393704.0,19605315.0,,,sina:159883,,
2021-06-04,159883,,1.007,1.023,1.003,1.018,13719201.0,13936461.0,,,sina:159883,,
2021-06-07,159883,,1.02,1.02,1.005,1.018,6878812.0,6980791.0,,,sina:159883,,
2021-06-08,159883,,1.019,1.029,1.005,1.012,22173000.0,22507946.0,,,sina:159883,,
2021-06-09,159883,,1.012,1.013,1.002,1.008,12734500.0,12817291.0,,,sina:159883,,
2021-06-10,159883,,1.009,1.013,1.005,1.008,15481503.0,15609205.0,,,sina:159883,,
2021-06-11,159883,,1.01,1.01,0.992,0.998,15889300.0,15878323.0,,,sina:159883,,
2021-06-15,159883,,0.999,1.004,0.984,0.988,13582000.0,13443820.0,,,sina:159883,,
2021-06-16,159883,,0.988,0.99,0.956,0.958,25359508.0,24548296.0,,,sina:159883,,
2021-06-17,159883,,0.958,0.972,0.954,0.969,17087202.0,16470717.0,,,sina:159883,,
2021-06-18,159883,,0.977,0.994,0.972,0.991,25939700.0,25562854.0,,,sina:159883,,
2021-06-21,159883,,0.984,1.014,0.982,1.009,23510101.0,23610729.0,,,sina:159883,,
2021-06-22,159883,,1.009,1.032,1.005,1.03,24575233.0,25086038.0,,,sina:159883,,
2021-06-23,159883,,1.032,1.032,1.017,1.021,17336100.0,17741489.0,,,sina:159883,,
2021-06-24,159883,,1.02,1.021,0.998,1.008,15917304.0,16036095.0,,,sina:159883,,
2021-06-25,159883,,1.008,1.04,1.008,1.038,27778817.0,28574495.0,,,sina:159883,,
