scope,idle,hold,ma,mom,model,alpha,vol_cap,accel_cap,min_history,min_amount20,param_id
domestic_plus_precious,20,60,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i20_h60_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,20,60,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i20_h60_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,20,60,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i20_h60_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,20,60,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i20_h60_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,10,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h10_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,40,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h40_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,40,60,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i40_h60_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,10,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h10_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,40,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h40_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_precious,60,60,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_precious_i60_h60_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,10,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h10_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,40,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h40_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,20,60,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i20_h60_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,120,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma120_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,120,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma120_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,120,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma120_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,120,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma120_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,10,120,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h10_ma120_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,40,60,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i40_h40_ma60_m20_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,40,40,60,20,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h40_ma60_m20_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,40,60,20,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h40_ma60_m20_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,40,60,60,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i40_h40_ma60_m60_raw_a0_v60_ac100_hist250_amt2000000
domestic_plus_us,40,40,60,60,stable,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h40_ma60_m60_stable_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,40,60,60,consistent,0.4,0.6,1.0,250,2000000,domestic_plus_us_i40_h40_ma60_m60_consistent_a40_v60_ac100_hist250_amt2000000
domestic_plus_us,40,40,120,20,raw,0.0,0.6,1.0,250,2000000,domestic_plus_us_i40_h40_ma120_m20_raw_a0_v60_ac100_hist250_amt2000000
